symbol,entry_time,exit_time,entry_price,sl,tp1,tp2,tp3,exit_type,pnl_r,score,duration_h
SOLUSDT,2026-03-18 09:00:00,2026-03-18 11:00:00,94.04,91.99866802,96.08133198,98.12266396,100.16399595,SL,-1.0,7.26,2
SOLUSDT,2026-03-31 12:00:00,2026-04-02 02:00:00,80.85,78.4245,83.2755,85.701,88.1265,SL,0.75,7.26,38
SOLUSDT,2026-04-14 21:00:00,2026-04-16 19:00:00,83.61,81.72964204,85.49035796,87.37071593,89.25107389,TP3,1.75,7.3,46
SOLUSDT,2026-04-23 14:00:00,2026-04-27 15:00:00,85.76,84.17591245,87.34408755,88.92817509,90.51226264,SL,0.0,7.9799999999999995,97
SOLUSDT,2026-05-04 13:00:00,2026-05-05 19:00:00,83.91,83.06878645,84.75121355,85.59242711,86.43364066,TP3,1.75,7.03,30
SOLUSDT,2026-05-15 05:00:00,2026-05-15 13:00:00,91.27,89.48963615,93.05036385,94.8307277,96.61109156,SL,-1.0,7.7,8
SOLUSDT,2026-05-19 10:00:00,2026-05-23 07:00:00,84.76,82.51386162,87.00613838,89.25227676,91.49841514,SL,0.0,7.960000000000001,93
