symbol,entry_time,exit_time,entry_price,sl,tp1,tp2,tp3,exit_type,pnl_r,score,duration_h
BTCUSDT,2026-03-12 09:00:00,2026-03-13 13:00:00,69912.33,68810.72766098,71013.93233902,72115.53467804,73217.13701706,TP3,1.75,7.6,28
BTCUSDT,2026-03-18 08:00:00,2026-03-18 13:00:00,73895.01,72112.58588178,75677.43411822,77459.85823644,79242.28235466,SL,-1.0,7.01,5
BTCUSDT,2026-03-19 21:00:00,2026-03-21 23:00:00,70480.56,69006.93829419,71954.18170581,73427.80341163,74901.42511744,SL,-1.0,7.05,50
BTCUSDT,2026-03-26 14:00:00,2026-03-26 18:00:00,69652.37,68258.82796252,71045.91203748,72439.45407497,73832.99611245,SL,-1.0,7.18,4
BTCUSDT,2026-04-02 19:00:00,2026-04-07 22:00:00,66977.75,65528.92897369,68426.57102631,69875.39205263,71324.21307894,TP3,1.75,7.1499999999999995,123
BTCUSDT,2026-04-10 09:00:00,2026-04-17 13:00:00,71605.85,69923.10038908,73288.59961092,74971.34922183,76654.09883275,TP3,1.75,7.11,172
BTCUSDT,2026-04-27 09:00:00,2026-04-27 15:00:00,77808.1,76889.02497363,78727.17502637,79646.25005275,80565.32507912,SL,-1.0,8.01,6
BTCUSDT,2026-05-04 13:00:00,2026-05-06 08:00:00,78850.01,77830.59629287,79869.42370713,80888.83741425,81908.25112138,TP3,1.75,7.16,43
BTCUSDT,2026-05-11 05:00:00,2026-05-13 13:00:00,80819.41,79608.03386772,82030.78613228,83242.16226456,84453.53839684,SL,0.0,7.71,56
