trade_num,equity_usdt,pnl_pct
0,10000.0,0.0
1,10175.0,1.75
2,10353.06,3.531
3,10249.53,2.495
4,10326.4,3.264
5,10507.12,5.071
6,10690.99,6.91
7,10690.99,6.91
8,10771.17,7.712
9,10851.96,8.52
10,10851.96,8.52
11,10851.96,8.52
