trade_num,equity_usdt,pnl_pct
0,10000.0,0.0
1,10175.0,1.75
2,10073.25,0.733
3,9972.52,-0.275
4,9872.79,-1.272
5,10045.57,0.456
6,10221.36,2.214
7,10400.24,4.002
8,10296.24,2.962
9,10193.27,1.933
10,10371.66,3.717
11,10449.44,4.494
12,10449.44,4.494
