trade_num,equity_usdt,pnl_pct
0,10000.0,0.0
1,9900.0,-1.0
2,10073.25,0.733
3,9972.52,-0.275
4,10047.31,0.473
5,9946.84,-0.532
6,10120.91,1.209
7,10120.91,1.209
8,10298.02,2.98
9,10375.26,3.753
10,10271.51,2.715
11,10168.79,1.688
12,10168.79,1.688
13,10067.1,0.671
